,Gender,Country,Hired on,Terminated on,ACTION,Grade,Unnamed: 6,Unnamed: 7,Unnamed: 8,Ethnicity
268,F,2,07/06/1998,02/01/2016,2,2.0,,07/06/199802/01/2016,,White
269,M,2,08/15/2011,09/29/2016,2,1.0,,08/15/201109/29/2016,,White
270,F,2,12/13/2004,12/03/2015,1,1.0,,12/13/200412/03/2015,,White
271,M,2,02/01/2012,09/30/2016,1,7.0,,02/01/201209/30/2016,,White
272,F,2,03/19/2012,05/20/2016,1,1.0,,03/19/201205/20/2016,,White
273,M,1,09/28/2015,07/19/2016,2,1.0,,09/28/201507/19/2016,,White
274,M,2,02/24/2014,03/24/2016,1,1.0,,02/24/201403/24/2016,,White
275,F,2,05/28/2008,01/05/2016,1,1.0,,05/28/200801/05/2016,,White
276,M,2,05/16/2014,07/01/2016,1,2.0,,05/16/201407/01/2016,,White
277,M,2,09/24/1996,01/06/2017,2,1.0,,09/24/199601/06/2017,,White
278,F,2,09/21/2015,05/13/2016,1,1.0,,09/21/201505/13/2016,,White
279,M,2,08/10/2015,03/10/2016,1,2.0,,08/10/201503/10/2016,,White
280,F,2,11/29/1999,04/03/2015,2,1.0,,11/29/199904/03/2015,,White
281,F,2,08/24/2015,04/22/2016,1,1.0,,08/24/201504/22/2016,,White
282,M,2,10/05/2015,06/03/2016,1,1.0,,10/05/201506/03/2016,,White
283,F,1,01/04/2016,01/15/2016,1,1.0,,01/04/201601/15/2016,,White
284,M,2,08/03/2011,10/31/2016,1,3.0,,08/03/201110/31/2016,,White
285,M,2,04/08/2013,12/17/2015,2,1.0,,04/08/201312/17/2015,,White
286,M,2,05/04/2015,08/25/2016,1,1.0,,05/04/201508/25/2016,,White
287,F,2,06/02/2014,10/03/2016,1,1.0,,06/02/201410/03/2016,,White
288,M,2,05/29/2015,12/01/2016,2,1.0,,05/29/201512/01/2016,,White
289,F,2,07/11/2011,10/28/2015,1,1.0,,07/11/201110/28/2015,,White
290,F,2,05/06/2013,05/27/2016,1,1.0,,05/06/201305/27/2016,,White
291,M,1,11/30/2015,06/20/2016,2,1.0,,11/30/201506/20/2016,,White
292,M,2,12/14/2015,03/04/2016,1,1.0,,12/14/201503/04/2016,,White
293,M,2,03/25/2014,09/13/2016,2,2.0,,03/25/201409/13/2016,,White
294,M,2,11/10/2014,09/26/2016,1,1.0,,11/10/201409/26/2016,,White
295,M,2,06/09/2014,11/10/2015,1,1.0,,06/09/201411/10/2015,,White
296,F,2,03/31/2014,10/20/2015,1,1.0,,03/31/201410/20/2015,,White
297,M,2,01/06/2014,03/17/2016,2,1.0,,01/06/201403/17/2016,,White
298,M,2,04/16/2007,10/11/2016,2,1.0,,04/16/200710/11/2016,,White
299,M,2,12/29/2014,09/14/2015,1,1.0,,12/29/201409/14/2015,,White
300,M,2,08/31/2015,07/15/2016,1,1.0,,08/31/201507/15/2016,,White
301,F,2,07/26/2010,10/21/2015,2,1.0,,07/26/201010/21/2015,,White
302,M,2,01/05/2015,12/30/2016,1,1.0,,01/05/201512/30/2016,,White
303,F,2,04/16/2012,07/21/2016,1,1.0,,04/16/201207/21/2016,,White
304,F,2,08/22/2011,12/30/2016,1,1.0,,08/22/201112/30/2016,,White
305,F,2,05/10/2010,09/02/2016,1,1.0,,05/10/201009/02/2016,,White
306,M,2,07/01/2013,10/23/2015,1,1.0,,07/01/201310/23/2015,,White
307,M,2,10/09/2013,05/20/2016,1,1.0,,10/09/201305/20/2016,,White
308,F,2,01/22/2014,10/31/2015,1,1.0,,01/22/201410/31/2015,,White
309,F,2,03/03/2014,07/08/2016,2,1.0,,03/03/201407/08/2016,,White
310,M,2,03/23/2015,11/10/2016,2,1.0,,03/23/201511/10/2016,,White
